firstName;lastName;nation abbrName
Eus«∏bio;da Silva Ferreira;Portugal
Johan;Cruyff;Holland
Roberto;Baggio;Italy
Manuel;Neuer;Germany
Diego;God«n;Uruguay
Toni;Kroos;Germany
Robert;Lewandowski;Poland
Thibaut;Courtois;Belgium
Jan;Oblak;Slovenia
Roy;Keane;Republic of Ireland
Jay-Jay;Okocha;Nigeria
Jens;Lehmann;Germany
Rui Manuel;C«∏sar Costa;Portugal
Alessandro;Del Piero;Italy
Filippo;Inzaghi;Italy
Gianfranco;Zola;Italy
Emmanuel;Petit;France
Claude;Mak«∏l«∏l«∏;France
Dennis;Bergkamp;Holland
Frank;Lampard;England
Jari;Litmanen;Finland
Rio;Ferdinand;England
Hern«≠n;Crespo;Argentina
Anderson Lu«s;de Souza;Portugal
Luis;Hern«≠ndez;Mexico
Manuel;Neuer;Germany
Diego;God«n;Uruguay
Toni;Kroos;Germany
Robert;Lewandowski;Poland
Peter;Schmeichel;Denmark
Thibaut;Courtois;Belgium
Jan;Oblak;Slovenia
Frank;Rijkaard;Holland
Ronaldo Lu«s;Naz«≠rio de Lima;Brazil
Thierry;Henry;France
Carles;Puyol Saforcada;Spain
Ruud;Gullit;Holland
George;Best;Northern Ireland
Marc;Overmars;Holland
Alessandro;Nesta;Italy
Lu«s Filipe;Madeira Caeiro Figo;Portugal
Henrik;Larsson;Sweden
Christian;Vieri;Italy
Ruud;van Nistelrooy;Holland
Hristo;Stoichkov;Bulgaria
Emilio;Butrague«Òo Santos;Spain
Rivaldo V«tor;Borba Ferreira;Brazil
Juan Sebasti«≠n;Ver«¸n;Argentina
Giorgio;Chiellini;Italy
